Instance Size,vCPU,Memory,Storage,Network ,Bandwith,EBS Bandwidth,1 Year Price, 1 Year PPM ,3 Year Price, 3 Year PPM ,GPUs,CPU Credits Earned / Hr,Network Burst Bandwidth (Gbps)***,Accelerator Peer-to-Peer Bidirectional(Gbps),1080p60 Streams,4Kp60 Streams,GPU Peer to Peer,GPUDirect RDMA,EBS Burst Bandwidth (Mbps),Baseline Performance / vCPU,Logical Processors*,Trainium Accelerators,Inferentia2 Accelerators,Inferentia Accelerators,Qualcomm AI 100 Accelerators,FPGAs,Physical Cores,Cores,Accelerator Memory (GB),U30 Accelerators,Gaudi Accelerators,Accelerator Memory (GB),CPU Credits/hour,NVIDIA T4G Tensor Core GPU,GPU Memory (GiB),Inter-accelerator Interconnect,EFA Network Bandwidth (Gbps),Aggregate Disk Throughput (MiB/s)
m5ad.2xlarge,8,32,1 x 300 NVMe SSD,,Up to 10,"Up to 2,880",0.283, $ 203.76 ,0.189, $ 136.08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7i.2xlarge,8,32,EBS-Only,,Up to 12.5,Up to 10,0.27648, $ 199.07 ,0.18555, $ 133.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4.2xlarge,8,15,EBS-Only,High,,"1,000",0.27, $ 194.40 ,0.185, $ 133.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inf1.2xlarge,8,16,EBS only,,Up to 25,Up to 4.75,0.245, $ 176.40 ,0.181, $ 130.32 ,,,,,,,,,,,,,,1,,,,,,,,,,,,N/A,,
m4.2xlarge,8,32,EBS-only,High,,"1,000",0.266, $ 191.52 ,0.1803, $ 129.82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7a.2xlarge,8,16,EBS-Only,,Up to 12.5,Up to 10,0.27691, $ 199.38 ,0.17987, $ 129.51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5.2xlarge,8,32,EBS-Only,,Up to 10,"Up to 4,750",0.263, $ 189.36 ,0.177, $ 127.44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6id.2xlarge,8,16,1x474 NVMe SSD,,Up to 12.5,Up to 10,0.27166, $ 195.60 ,0.17699, $ 127.43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6i.2xlarge,8,32,EBS-Only,,Up to 12.5,Up to 10,0.26331, $ 189.58 ,0.17671, $ 127.23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7i-flex.2xlarge,8,32,EBS-Only,,Up to 12.5,Up to 10,0.26265, $ 189.11 ,0.17626, $ 126.91 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i4i.xlarge,4,32,1 x 937 AWS Nitro SSD,,Up to 10,Up to 10,0.249, $ 179.28 ,0.173, $ 124.56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6in.2xlarge,8,16,EBS-Only,,Up to 40,Up to 25,0.30672, $ 220.84 ,0.17212, $ 123.93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5d.2xlarge,8,16,1 x 200 NVMe SSD,,Up to 10,"Up to 4,750",0.26, $ 187.20 ,0.168, $ 120.96 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t2.2xlarge,8,32,EBS-Only,Moderate,,,0.2468, $ 177.70 ,0.1674, $ 120.53 ,,,,,,,,,,,,,,,,,,,,,,,81,,,,,
r6idn.xlarge,4,32,1x237 NVMe SSD,,Up to 30,Up to 25,0.26425, $ 190.26 ,0.16579, $ 119.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6gd.2xlarge,8,32,1 x 474 NVMe SSD,,Up to 10,"Up to 4,750",0.2458, $ 176.98 ,0.1641, $ 118.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5n.2xlarge,8,21,EBS-Only,,Up to 25,"Up to 4,750",0.292, $ 210.24 ,0.164, $ 118.08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6gn.2xlarge,8,16,EBS-Only,,Up to 25,Up to 9.5,0.2443, $ 175.90 ,0.16155, $ 116.32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z1d.xlarge,4,32,1 x 150 NVMe SSD,Up to 10,,0.25,0.253, $ 182.16 ,0.16, $ 115.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7gd.2xlarge,8,16,1 x 474 NVMe SSD,,Up to 15,Up to 10,0.2445, $ 176.04 ,0.1593, $ 114.70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6a.2xlarge,8,32,EBS-Only,,Up to 12.5,Up to 10,0.23698, $ 170.63 ,0.15904, $ 114.51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i3.xlarge,4,30.5,1 x 950 NVMe SSD,Up to 10,,0.23,0.23, $ 165.60 ,0.158, $ 113.76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5a.2xlarge,8,32,EBS-Only,,Up to 10,"Up to 2,880",0.235, $ 169.20 ,0.158, $ 113.76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7i.2xlarge,8,16,EBS-Only,,Up to 12.5,Up to 10,0.24079, $ 173.37 ,0.15641, $ 112.62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i4g.xlarge,4,32,1 x 937 GB = 937 GB,,Up to 10,Up to 10,0.22448, $ 161.63 ,0.15558, $ 112.02 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5zn.xlarge,4,16,EBS-Only,,Up to 25,"Up to 3,170",0.2331, $ 167.83 ,0.1554, $ 111.89 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5ad.2xlarge,8,16,1 x 300 NVMe SSD,,up to 10,"up to 3,170",0.232, $ 167.04 ,0.151, $ 108.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7g.2xlarge,8,32,EBS-Only,,Up to 15,Up to 10,0.2238, $ 161.14 ,0.1502, $ 108.14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3.2xlarge,8,32,EBS-Only,Up to 5,,,0.2239, $ 161.21 ,0.1499, $ 107.93 ,,,,,,,,,,,,,,,,,,,,,,,192,,,,,
c5.2xlarge,8,16,EBS-Only,,Up to 10,"Up to 4,750",0.23, $ 165.60 ,0.149, $ 107.28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6i.2xlarge,8,16,EBS-Only,,Up to 12.5,Up to 10,0.22932, $ 165.11 ,0.14896, $ 107.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6in.xlarge,4,32,EBS-Only,,Up to 30,Up to 25,0.23576, $ 169.75 ,0.14761, $ 106.28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7a.xlarge,4,32,EBS-Only,,Up to 12.5,Up to 10,0.20577, $ 148.15 ,0.14404, $ 103.71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5dn.xlarge,4,32,1 x 150 NVMe SSD,Up to 25,,"Up to 4,750",0.226, $ 162.72 ,0.142, $ 102.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6g.2xlarge,8,32,EBS-Only,,Up to 10,"Up to 4,750",0.2117, $ 152.42 ,0.1411, $ 101.59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6id.xlarge,4,32,1x237 NVMe SSD,,Up to 12.5,Up to 10,0.20477, $ 147.43 ,0.14097, $ 101.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3a.2xlarge,8,32,EBS-Only,Up to 5,,,0.2025, $ 145.80 ,0.1359, $ 97.85 ,,,,,,,,,,,,,,,,,,,,,,,192,,,,,
r5d.xlarge,4,32,1 x 150 NVMe SSD,up to 10,,"Up to 4,750",0.195, $ 140.40 ,0.135, $ 97.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5a.2xlarge,8,16,EBS-Only,,Up to 10,"Up to 3,170",0.209, $ 150.48 ,0.135, $ 97.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6a.2xlarge,8,16,EBS-Only,,Up to 12.5,Up to 10,0.20639, $ 148.60 ,0.13406, $ 96.52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6gd.2xlarge,8,16,1 x 474 NVMe SSD,,Up to 10,"Up to 4,750",0.208, $ 149.76 ,0.1324, $ 95.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6idn.xlarge,4,16,1x237 NVMe SSD,,Up to 30,Up to 25,0.21707, $ 156.29 ,0.12909, $ 92.94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7gd.xlarge,4,32,1 x 237 NVMe SSD,,Up to 12.5,Up to 10,0.1843, $ 132.70 ,0.1269, $ 91.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7g.2xlarge,8,16,EBS-Only,,Up to 15,Up to 10,0.1949, $ 140.33 ,0.1266, $ 91.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5b.xlarge,4,32,EBS-Only,up to 10,,"Up to 10,000",0.2015076, $ 145.09 ,0.1261613, $ 90.84 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5n.xlarge,4,32,EBS-Only,Up to 25,,"Up to 4,750",0.202, $ 145.44 ,0.126, $ 90.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7i.xlarge,4,32,EBS-Only,,Up to 12.5,Up to 10,0.17892, $ 128.82 ,0.12525, $ 90.18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2gd.xlarge,4,64,1x237 NVMe SSD,,Up to 10,Up to 4.75,0.2305, $ 165.96 ,0.1243, $ 89.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5ad.xlarge,4,32,1 x 150 NVMe SSD,Up to 10,,"Up to 2,880",0.178, $ 128.16 ,0.122, $ 87.84 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4g.2xlarge,8,32,,,,,0.1809, $ 130.25 ,0.1213, $ 87.34 ,,192,Up to 5,,,,,,"Up to 2,780",40%,,,,,,,,,,,,,,,,,,
r4.xlarge,4,30.5,EBS-Only,Up to 10,,0.18,0.1804, $ 129.89 ,0.1194, $ 85.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6i.xlarge,4,32,EBS-Only,,Up to 12.5,Up to 10,0.1704, $ 122.69 ,0.11928, $ 85.88 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5.xlarge,4,32,EBS-Only,up to 10,,"Up to 4,750",0.17, $ 122.40 ,0.119, $ 85.68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6g.2xlarge,8,16,EBS-Only,,Up to 10,"Up to 4,750",0.1868, $ 134.50 ,0.1184, $ 85.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inf1.xlarge,4,8,EBS only,,Up to 25,Up to 4.75,0.154, $ 110.88 ,0.114, $ 82.08 ,,,,,,,,,,,,,,1,,,,,,,,,,,,N/A,,
m6in.xlarge,4,16,EBS-Only,,Up to 30,Up to 25,0.18963, $ 136.53 ,0.11189, $ 80.56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5dn.xlarge,4,16,1 x 150 NVMe SSD,,Up to 25,"Up to 4,750",0.186, $ 133.92 ,0.11, $ 79.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6id.xlarge,4,16,1x237 NVMe SSD,,Up to 12.5,Up to 10,0.16219, $ 116.78 ,0.10837, $ 78.03 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6a.xlarge,4,32,EBS-Only,,Up to 12.5,Up to 10,0.15336, $ 110.42 ,0.10735, $ 77.29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6gd.xlarge,4,32,1 x 237 NVMe SSD,,Up to 10,"Up to 4,750",0.1565, $ 112.68 ,0.1071, $ 77.11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5a.xlarge,4,32,EBS-Only,Up to 10,,"Up to 2,880",0.153, $ 110.16 ,0.107, $ 77.04 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7a.xlarge,4,16,EBS-Only,,Up to 12.5,Up to 10,0.15897, $ 114.46 ,0.10669, $ 76.82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i3en.large,2,16,1 x 1250 NVMe SSD,,Up to 25,0.17,0.166, $ 119.52 ,0.103, $ 74.16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5d.xlarge,4,16,1 x 150 NVMe SSD,,Up to 10,"Up to 4,750",0.154, $ 110.88 ,0.103, $ 74.16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7g.xlarge,4,32,EBS-Only,,Up to 12.5,Up to 10,0.1448, $ 104.26 ,0.1014, $ 73.01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7gd.xlarge,4,16,1 x 237 NVMe SSD,,Up to 12.5,Up to 10,0.146, $ 105.12 ,0.0975, $ 70.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5n.xlarge,4,16,EBS-Only,,Up to 25,"Up to 4,750",0.162, $ 116.64 ,0.096, $ 69.12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6g.xlarge,4,32,EBS-Only,,Up to 10,"Up to 4,750",0.1356, $ 97.63 ,0.0948, $ 68.26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7gn.xlarge,4,8,EBS-Only,,Up to 40,Up to 10,0.1688, $ 121.54 ,0.0947, $ 68.18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5ad.xlarge,4,16,1 x 150 NVMe SSD,,Up to 10,"Up to 2,880",0.141, $ 101.52 ,0.094, $ 67.68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7i.xlarge,4,16,EBS-Only,,Up to 12.5,Up to 10,0.13824, $ 99.53 ,0.09277, $ 66.79 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4.xlarge,4,7.5,EBS-Only,High,,750,0.135, $ 97.20 ,0.092, $ 66.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m4.xlarge,4,16,EBS-only,High,,750,0.133, $ 95.76 ,0.0901, $ 64.87 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7a.xlarge,4,8,EBS-Only,,Up to 12.5,Up to 10,0.13846, $ 99.69 ,0.08994, $ 64.76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6id.xlarge,4,8,1x237 NVMe SSD,,Up to 12.5,Up to 10,0.13583, $ 97.80 ,0.08849, $ 63.71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6i.xlarge,4,16,EBS-Only,,Up to 12.5,Up to 10,0.13166, $ 94.80 ,0.08836, $ 63.62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7i-flex.xlarge,4,16,EBS-Only,,Up to 12.5,Up to 10,0.13133, $ 94.56 ,0.08813, $ 63.45 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5.xlarge,4,16,EBS-Only,,Up to 10,"Up to 4,750",0.132, $ 95.04 ,0.088, $ 63.36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6in.xlarge,4,8,EBS-Only,,Up to 30,Up to 25,0.15336, $ 110.42 ,0.08606, $ 61.96 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i4i.large,2,16,1 x 468 AWS Nitro SSD,,Up to 10,Up to 10,0.125, $ 90.00 ,0.086, $ 61.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5d.xlarge,4,8,1 x 100 NVMe SSD,,Up to 10,"Up to 4,750",0.13, $ 93.60 ,0.084, $ 60.48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t2.xlarge,4,16,EBS-Only,Moderate,,,0.1234, $ 88.85 ,0.0837, $ 60.26 ,,,,,,,,,,,,,,,,,,,,,,,54,,,,,
r6idn.large,2,16,1x118 NVMe SSD,,Up to 25,Up to 25,0.13212, $ 95.13 ,0.08289, $ 59.68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6gd.xlarge,4,16,1 x 237 NVMe SSD,,Up to 10,"Up to 4,750",0.1229, $ 88.49 ,0.0821, $ 59.11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5n.xlarge,4,10.5,EBS-Only,,Up to 25,"Up to 4,750",0.146, $ 105.12 ,0.082, $ 59.04 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6gn.xlarge,4,8,EBS-Only,,Up to 25,Up to 9.5,0.12215, $ 87.95 ,0.08078, $ 58.16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z1d.large,2,16,1 x 75 NVMe SSD,Up to 10,,0.13,0.126, $ 90.72 ,0.08, $ 57.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7gd.xlarge,4,8,1 x 237 NVMe SSD,,Up to 12.5,Up to 10,0.1222, $ 87.98 ,0.0796, $ 57.31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6a.xlarge,4,16,EBS-Only,,Up to 12.5,Up to 10,0.11849, $ 85.31 ,0.07952, $ 57.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i3.large,2,15.25,1 x 475 NVMe SSD,Up to 10,,0.12,0.115, $ 82.80 ,0.079, $ 56.88 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5a.xlarge,4,16,EBS-Only,,Up to 10,"Up to 2,880",0.117, $ 84.24 ,0.079, $ 56.88 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7i.xlarge,4,8,EBS-Only,,Up to 12.5,Up to 10,0.12039, $ 86.68 ,0.0782, $ 56.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i4g.large,2,16,1 x 468 GB = 468 GB,,Up to 10,Up to 10,0.11224, $ 80.81 ,0.07779, $ 56.01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5zn.large,2,8,EBS-Only,,Up to 25,"Up to 3,170",0.1165, $ 83.88 ,0.0777, $ 55.94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5ad.xlarge,4,8,1 x 150 NVMe SSD,,up to 10,"up to 3,170",0.116, $ 83.52 ,0.076, $ 54.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7g.xlarge,4,16,EBS-Only,,Up to 12.5,Up to 10,0.1119, $ 80.57 ,0.0751, $ 54.07 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3.xlarge,4,16,EBS-Only,Up to 5,,,0.112, $ 80.64 ,0.0749, $ 53.93 ,,,,,,,,,,,,,,,,,,,,,,,96,,,,,
c6i.xlarge,4,8,EBS-Only,,Up to 12.5,Up to 10,0.11466, $ 82.56 ,0.07448, $ 53.63 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5.xlarge,4,8,EBS-Only,,Up to 10,"Up to 4,750",0.115, $ 82.80 ,0.074, $ 53.28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6in.large,2,16,EBS-Only,,Up to 25,Up to 25,0.11788, $ 84.87 ,0.0738, $ 53.14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7a.large,2,16,EBS-Only,,Up to 12.5,Up to 10,0.10288, $ 74.07 ,0.07202, $ 51.85 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5dn.large,2,16,1 x 75 NVMe SSD,Up to 25,,"Up to 4,750",0.113, $ 81.36 ,0.071, $ 51.12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6g.xlarge,4,16,EBS-Only,,Up to 10,"Up to 4,750",0.1058, $ 76.18 ,0.0706, $ 50.83 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6id.large,2,16,1x118 NVMe SSD,,Up to 12.5,Up to 10,0.10239, $ 73.72 ,0.07049, $ 50.75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3a.xlarge,4,16,EBS-Only,Up to 5,,,0.1013, $ 72.94 ,0.0679, $ 48.89 ,,,,,,,,,,,,,,,,,,,,,,,96,,,,,
c6a.xlarge,4,8,EBS-Only,,Up to 12.5,Up to 10,0.10319, $ 74.30 ,0.06703, $ 48.26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5d.large,2,16,1 x 75 NVMe SSD,up to 10,,"Up to 4,750",0.098, $ 70.56 ,0.067, $ 48.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5a.xlarge,4,8,EBS-Only,,Up to 10,"Up to 3,170",0.104, $ 74.88 ,0.067, $ 48.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6gd.xlarge,4,8,1 x 237 NVMe SSD,,Up to 10,"Up to 4,750",0.104, $ 74.88 ,0.0662, $ 47.66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6idn.large,2,8,1x118 NVMe SSD,,Up to 25,Up to 25,0.10853, $ 78.14 ,0.06454, $ 46.47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7gd.large,2,16,1 x 118 NVMe SSD,,Up to 12.5,Up to 10,0.0921, $ 66.31 ,0.0634, $ 45.65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7g.xlarge,4,8,EBS-Only,,Up to 12.5,Up to 10,0.0975, $ 70.20 ,0.0633, $ 45.58 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5b.large,2,16,EBS-Only,up to 10,,"Up to 10,000",0.1007538, $ 72.54 ,0.0630806, $ 45.42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5n.large,2,16,EBS-Only,Up to 25,,"Up to 4,750",0.101, $ 72.72 ,0.063, $ 45.36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7i.large,2,16,EBS-Only,,Up to 12.5,Up to 10,0.08946, $ 64.41 ,0.06262, $ 45.09 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2gd.large,2,32,1x118 NVMe SSD,,Up to 10,Up to 4.75,0.1153, $ 83.02 ,0.0621, $ 44.71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5ad.large,2,16,1 x 75 NVMe SSD,Up to 10,,"Up to 2,880",0.089, $ 64.08 ,0.061, $ 43.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4g.xlarge,4,16,,,,,0.0905, $ 65.16 ,0.0606, $ 43.63 ,,96,Up to 5,,,,,,"Up to 2,780",40%,,,,,,,,,,,,,,,,,,
r5.large,2,16,EBS-Only,up to 10,,"Up to 4,750",0.085, $ 61.20 ,0.06, $ 43.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r4.large,2,15.25,EBS-Only,Up to 10,,0.09,0.0902, $ 64.94 ,0.0597, $ 42.98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6i.large,2,16,EBS-Only,,Up to 12.5,Up to 10,0.0852, $ 61.34 ,0.05964, $ 42.94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6g.xlarge,4,8,EBS-Only,,Up to 10,"Up to 4,750",0.0934, $ 67.25 ,0.0592, $ 42.62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6in.large,2,8,EBS-Only,,Up to 25,Up to 25,0.09482, $ 68.27 ,0.05594, $ 40.28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5dn.large,2,8,1 x 75 NVMe SSD,,Up to 25,"Up to 4,750",0.093, $ 66.96 ,0.055, $ 39.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6id.large,2,8,1x118 NVMe SSD,,Up to 12.5,Up to 10,0.0811, $ 58.39 ,0.05419, $ 39.02 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6a.large,2,16,EBS-Only,,Up to 12.5,Up to 10,0.07668, $ 55.21 ,0.05368, $ 38.65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6gd.large,2,16,1 x 118 NVMe SSD,,Up to 10,"Up to 4,750",0.0782, $ 56.30 ,0.0536, $ 38.59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7a.large,2,8,EBS-Only,,Up to 12.5,Up to 10,0.07949, $ 57.23 ,0.05335, $ 38.41 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5a.large,2,16,EBS-Only,Up to 10,,"Up to 2,880",0.077, $ 55.44 ,0.053, $ 38.16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5d.large,2,8,1 x 75 NVMe SSD,,Up to 10,"Up to 4,750",0.077, $ 55.44 ,0.052, $ 37.44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7g.large,2,16,EBS-Only,,Up to 12.5,Up to 10,0.0724, $ 52.13 ,0.0507, $ 36.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7gd.large,2,8,1 x 118 NVMe SSD,,Up to 12.5,Up to 10,0.073, $ 52.56 ,0.0488, $ 35.14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5n.large,2,8,EBS-Only,,Up to 25,"Up to 4,750",0.081, $ 58.32 ,0.048, $ 34.56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7gn.large,2,4,EBS-Only,,Up to 30,Up to 10,0.0844, $ 60.77 ,0.0474, $ 34.13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6g.large,2,16,EBS-Only,,Up to 10,"Up to 4,750",0.0678, $ 48.82 ,0.0474, $ 34.13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5ad.large,2,8,1 x 75 NVMe SSD,,Up to 10,"Up to 2,880",0.071, $ 51.12 ,0.047, $ 33.84 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7i.large,2,8,EBS-Only,,Up to 12.5,Up to 10,0.06912, $ 49.77 ,0.04639, $ 33.40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4.large,2,3.75,EBS-Only,Moderate,,500,0.068, $ 48.96 ,0.046, $ 33.12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m4.large,2,8,EBS-only,Moderate,,450,0.0664, $ 47.81 ,0.0451, $ 32.47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7a.large,2,4,EBS-Only,,Up to 12.5,Up to 10,0.06923, $ 49.85 ,0.04497, $ 32.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6id.large,2,4,1x118 NVMe SSD,,Up to 12.5,Up to 10,0.06791, $ 48.90 ,0.04425, $ 31.86 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6i.large,2,8,EBS-Only,,Up to 12.5,Up to 10,0.06583, $ 47.40 ,0.04418, $ 31.81 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7i-flex.large,2,8,EBS-Only,,Up to 12.5,Up to 10,0.06566, $ 47.28 ,0.04406, $ 31.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5.large,2,8,EBS-Only,,Up to 10,"Up to 4,750",0.066, $ 47.52 ,0.044, $ 31.68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6in.large,2,4,EBS-Only,,Up to 25,Up to 25,0.07668, $ 55.21 ,0.04303, $ 30.98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5d.large,2,4,1 x 50 NVMe SSD,,Up to 10,"Up to 4,750",0.065, $ 46.80 ,0.042, $ 30.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t2.large,2,8,EBS-Only,Low to Moderate,,,0.0618, $ 44.50 ,0.0418, $ 30.10 ,,,,,,,,,,,,,,,,,,,,,,,36,,,,,
m6gd.large,2,8,1 x 118 NVMe SSD,,Up to 10,"Up to 4,750",0.0615, $ 44.28 ,0.041, $ 29.52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
